PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2171982.00;1.000;41; ;TÉCNICO EN GUÍA DE HORARIOS Y CURSOS                                                                                                                                                                                                                            
TECNICO ESPECIALIZADO D;2069229.00;1.000;35; ;TÉCNICO EN MANTENIMIENTO DE REDES DE TELECOMUNICACIONES                                                                                                                                                                                                         
PROFESIONAL C;3331373.00;1.000;33; ;PROFESIONAL COORDINADOR DE PROGRAMA DE VOLUNTARIADO UNIVERSITARIO                                                                                                                                                                                               
PROFESOR CATEDRATICO                   ;4173191.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
DIRECTOR CENTRO REGIONAL;5558905.00;1.000;30; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;4344397.00;1.000;31; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5613291.00;1.000;36; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3786167.00;1.000;23; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;806058.65;0.625;11; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1688278.00;1.000;17; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1210209.00;1.000;9; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;314878.45;0.375;15; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO B;1449216.00;1.000;40; ;MENSAJERO                                                                                                                                                                                                                                                       
PROFESOR CATEDRATICO                   ;3668704.75;1.000;27; ;PUESTO NO ADMINISTRATIVO
PROFESIONAL D;3688142.00;1.000;31; ;PROFESIONAL COORDINADOR DE AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                 
PROFESIONAL A;2670564.00;1.000;34; ;PROFESIONAL EN CANJE DE RECURSOS BIBLIOGRÁFICOS                                                                                                                                                                                                                 
PROFESIONAL C;3331373.00;1.000;33; ;JEFATURA ADMINISTRATIVA C DE ESCUELA                                                                                                                                                                                                                            
PROFESOR CATEDRATICO                   ;5760201.00;1.000;40; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;471102.30;0.250;16; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;141534.65;0.125;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3226382.00;1.000;24; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2972273.00;1.000;36; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO D;2097253.00;1.000;36; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR ASOCIADO                      ;3508154.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;108899.05;0.125;4; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;3529861.00;1.000;26; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1654570.00;1.000;30; ;TÉCNICO EN ADMISIÓN ESTUDIANTIL                                                                                                                                                                                                                                 
PROFESIONAL C;3473372.00;1.000;27; ;JEFATURA ADMINISTRATIVA C DE ESCUELA                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;667538.50;0.500;8; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5050820.00;1.000;33; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO C;1456134.00;1.000;36; ;OPERADOR DE CENTRAL TELEFÓNICA                                                                                                                                                                                                                                  
TECNICO ASISTENCIAL B;1422281.00;1.000;28; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESOR INTERINO;3643190.50;1.250;27; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESOR ASOCIADO                      ;3450667.00;1.000;32; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;2037594.00;1.000;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2619847.00;1.000;27; ;PUESTO NO ADMINISTRATIVO
TECNICO ESPECIALIZADO B;1667208.00;1.000;31; ;TÉCNICO DE LABORATORIO DE BOTÁNICA Y MICOLOGÍA                                                                                                                                                                                                                  
PROFESOR INTERINO LICENCIADO           ;1748069.00;1.000;25; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;1445115.50;0.500;32; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2056000.85;1.000;23; ;PUESTO NO ADMINISTRATIVO
PROFESOR CATEDRATICO                   ;5127997.00;1.000;29; ;PUESTO NO ADMINISTRATIVO
TECNICO ASISTENCIAL A;1480270.00;1.000;35; ;ASISTENTE DE AGRONOMÍA                                                                                                                                                                                                                                          
PROFESOR INTERINO LICENCIADO           ;638551.00;0.500;12; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;1014076.00;0.500;26; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;1209460.95;1.000;10; ;PUESTO NO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;2401476.00;1.000;37; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;1260962.50;0.500;35; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2409210.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR ASOCIADO                      ;3133029.00;1.000;22; ;PUESTO NO ADMINISTRATIVO
PROFESOR ADJUNTO                       ;2438946.00;1.000;18; ;PUESTO NO ADMINISTRATIVO
TRABAJADOR OPERATIVO A;1178417.00;1.000;26; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;4443272.00;1.000;25; ;PUESTO NO ADMINISTRATIVO
PROFESOR INSTRUCTOR                    ;163687.30;0.125;12; ;PUESTO NO ADMINISTRATIVO
